text,Label,a1,a2
"The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Disease Control and Prevention announced. The virus has already sickened hundreds and killed six people in Asia. https://t.co/YLUTSOJwaG",INFORMATIVE,,
"Hey DOCTOR: “CDC Survey Shows Flavors Aren’t Driving Youth Vaping:
Over 75 percent of youth vapers apparently don’t care much about flavors, according to the most recent survey conducted by the Centers for Disease Control and Prevention.”
https://t.co/C5CRAxPuI5 https://t.co/daP6fVRo5P",INFORMATIVE,,
"CDC details first U.S. case of novel virus spreading in China 
#Wuhan
 https://t.co/Yw95U9qsa0 via @statnews",INFORMATIVE,,
"Yes i can! And Schifty was sniffling today and someone at their table had coughed! Danger, danger CDC should quarantine the inquisition team https://t.co/T5xHTpzUNS",UNINFORMATIVE,,
"Someone sent me this #wildlife menu from #Wuhan. Seems pretty awful people are STILL eating this stuff, potentially putting half the planet’s population at risk from #pandemic.

#WuhanCoronavirus 
#WuhanSARS 
#NovelCoronavirus 
#SARSvirus 
#WuhanOutbreak 
#Wuhan
#WuhanPneumonia https://t.co/HEHCh0iyKU",UNINFORMATIVE,,
"It is good to see the #British is doing preventive action! The direct flight from #Wuhan to  #London is  three times a week. #WuhanCoronavirus
#WuhanPneumonia
https://t.co/qjdiB4bTI6",INFORMATIVE,,
"2. The local market where the #WuhanCoronavirus originates remained open for another week after initial reports about the virus surfaced in local media. However, people were originally advised not to worry about it because they were told the virus is not “transmittable.”",INFORMATIVE,,
"Everyone must strengthen the awareness of personal hygiene, minimize going out, wear masks ????and to the medical staff fighting at the frontline of the epidemic, you must also take care of yourself ????",INFORMATIVE,,
"Imagine being patient 0 for a big epidemic.

All of this, because of you.
 #coronavirus",UNINFORMATIVE,,
The Philippine health department said that those who show symptoms of Wuhan #coronavirus with travel history from China (or those who had contact with a person positive for the virus) should go to the nearest hospital for evaluation. #nCoV #ANCEarlyEdition https://t.co/mLiteIIaW2,INFORMATIVE,,
"Now that we have a confirmed case of NCoV in the Philippines, some quick reminders:

1. Don’t panic.
2. Wash your hands frequently.
3. Facemasks will help.
4. Get enough rest to boost your immune system.
5. Stay up to date through credible sources.

#coronavirus #NCoV",INFORMATIVE,,
@HALpartnerSHIPS My flight to Japan will be drastically increased and I can’t pay it. My rt to China was $650rt and to fly to Japan is $1421 rt for each of us. That is a $1700 additional expense not budgeted for. I need to cancel.,UNINFORMATIVE,,
S’pore government to foot hospital bills for all suspected &amp; confirmed Wuhan virus cases locally https://t.co/BHZvMMbGNQ #BuzzBreak,INFORMATIVE,,
This is how the coronavirus started https://t.co/3y2GkBpzEF,UNINFORMATIVE,,
Watch Myth 13: Everyone should go to a pain clinic https://t.co/B6RpGwtMGV via @YouTube  Pain clinics (pain management) yet another $wasteful boondoggle pushed by CDC where huge profits doing injections @$1000 &amp; urine tests (UDT&gt; EPA budget ) rarely using pain meds @BillCassidy,INFORMATIVE,,
"#China is reportedly not allowing #Taiwan to evacuate its citizens from #Wuhan where the deadly #coronavirus is. 

It is an outrage that the Chinese government is playing politics with people’s lives &amp; public health.

https://t.co/EkS9arRHpO",INFORMATIVE,,
"Really heartbreaking to see these doctor
A big salute to u guys 
God bless u????????
My prayers to the doctors and the patients who are effected by Corona virus
#coronavirus 
#CoronavirusWho 
#coronaviruschina https://t.co/xJPB46r1vn",UNINFORMATIVE,,
Wuhan virus: Philippines confirms first case in Chinese woman from Wuhan https://t.co/hcTlfKroDr,INFORMATIVE,,
Things are escaping https://t.co/YXy20sOmhF,UNINFORMATIVE,,
"Peter Dutton clearly said the government was listening to medical experts in this matter. ""We'll take the advice from the doctors.""

Surely he would not lie to us. Perhaps Peter consulted with Dr Bettina Arndt &amp; Dr Malcolm Roberts? #auspol #coronavirus #ChristmasIsland https://t.co/h7Ebc50e9L",INFORMATIVE,,
"Peter Dutton clearly said the government was listening to medical experts in this matter. ""We'll take the advice from the doctors.""

Surely he would not lie to us. Perhaps Peter consulted with Dr Bettina Arndt &amp; Dr Malcolm Roberts? #auspol #coronavirus #ChristmasIsland https://t.co/h7Ebc50e9L",INFORMATIVE,,
"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHO_Europe @WHOEMRO @WHOAFRO ??BREAKING??

""For all of these reasons, I am declaring a public health emergency of international concern over the global outbreak of #2019nCoV.""-@DrTedros",INFORMATIVE,,
"Ppl were not afraid of #HongKongProtests but now w/ the #coronavirus, things hv taken an extreme turn. If the Hong Kong govt still doesn’t act quick, this will ??/destroy HK’s economy. Int’l gallerists’ reaction to Art Basel HK fair is a serious warning https://t.co/bpjNoomTZs",INFORMATIVE,,
"I’ll be honest - as an epidemiologist, I’m really deeply worried about this new coronavirus outbreak. 1) the virus has an upward infection trajectory curve much steeper than SARS. 2) it can be transmitted person to person before symptoms appear — I.e. it is silently contagious! https://t.co/5Kjo6DkbQj",INFORMATIVE,,
Coronavirus is declared global emergency by World Health Organization as outbreak continues to spread outside China https://t.co/coy5obqZY7,INFORMATIVE,,
Why is China still not on a travel ban list? https://t.co/EQaCP4PNH9,UNINFORMATIVE,,
"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHO_Europe @WHOEMRO @WHOAFRO ""In total, there are now 7834 confirmed #2019nCoV cases, including 7736 in #China, representing almost 99% of all reported cases worldwide. 170 people have lost their lives to this outbreak, all of them in China""-@DrTedros",INFORMATIVE,,
Watch the Coronavirus spread in real time around the globe here: https://t.co/RefauTeJxc,UNINFORMATIVE,,
"Arab leaders have failed Palestinians in their hour of need, the same way they’ve betrayed 8 million Muslims in Kashmir and 13 million Muslims in China.

My latest for @TRTworld. https://t.co/Vew4aTs4hu",INFORMATIVE,,
"Some FACTS about this ""unused"" accommodation being used for those coming back from China 
1. It's still used and staff got kicked out today.
2. Arrowe Park is the ONLY hospital on the Wirral that has overnight admissions
3. It is the only A&amp;E department on The Wirral
#coronavirus https://t.co/tbgMpiHhwj",INFORMATIVE,,
This nigga is our one and only hope against the coronavirus https://t.co/tRrK5QblMO,UNINFORMATIVE,,
Coronavirus is scary enough to make Americans racist about Chinese people but not scary enough to make Americans start washing their hands,UNINFORMATIVE,,
The World Health Organization declares a global health emergency as cases of Wuhan coronavirus continue to spread outside China. Follow live updates: https://t.co/PFr6l3NkZQ https://t.co/uGkWq0Mh4T,INFORMATIVE,,
"UK top trade partners (exports) in 2018:

EU ????£291bn
United States ???? £50.4bn
China ???? £21.4bn
Turkey £10.6bn
Hong Kong ???? £7.9bn
UAE ???? £7.8bn
Japan ???? £6.5bn
South Korea ???? £6bn
Canada ???? £5.6bn
Singapore ???? £5.2bn
India ???? £5bn
Australia ???? £4.5bn

Spot the problem.",INFORMATIVE,,
This could possibly cure the Coronavirus ?????? https://t.co/BuKMUI0OJ3,INFORMATIVE,,
Let us count the ways the Trump administration is underprepared to tackle the coronavirus https://t.co/cwqyWVquzb,UNINFORMATIVE,,
"Richard Jefferson says Tony Snell is ""shooting like he has the coronavirus."" https://t.co/p18b0VuJ0w",INFORMATIVE,,
"Some people may just scroll past this and dismiss it but this is genuinely a rat stood up washing itself with soap like a human, take a minute https://t.co/aAMIXjsymr",UNINFORMATIVE,,
The fact that there’s no way to cure this CoronaVirus and there’s still open travel to and from CHINA https://t.co/fCl6Xtl51Q,INFORMATIVE,,
Wisdom from Wuhan - don’t throw away that bottle https://t.co/3fCtRlPSWR,UNINFORMATIVE,,
"@realDonaldTrump well there go your unemployment numbers...not only is your FDA and CDC puting vapors out of business, now Businesses don't want to hire smokers...thats a shit load of people out of  work...What a SHIT STORM.
@parscale #wevapewevote #myrightmychoice #waytogo https://t.co/1wm8IU5J2J",INFORMATIVE,,
How the Asian kid walks in school knowing be bouta give the whole school the coronavirus https://t.co/uxQK3qM5aR,UNINFORMATIVE,,
"Here’s what you need to know about the Corona Virus!!!! ?? #CoronavirusOutbreak 
Please share, we all need to read this. https://t.co/E16ioO6lRj",UNINFORMATIVE,,
World Health Organization declares coronavirus outbreak a public health emergency  https://t.co/MBg70aDE7x,INFORMATIVE,,
from China because she'd gained some weight. Hyoyeon thought it was nice,UNINFORMATIVE,,
"Here’s the thing: China will do what’s best for China. That’s a given. Every country is supposed to do what’s best for its people, whether it’s China, the US, Sweden, and so on. 

So the real head-scratcher is: why doesn’t the Philippines do what’s best for the Philippines?",INFORMATIVE,,
Anyone getting sick of the BBC doing the @ABCnews  job? I am. https://t.co/NQv1lGZ42a,UNINFORMATIVE,,
I guess #Coronavirus means you stay at home « still » spend your money on #Amazon $AMZN while biking on your #Peloton $PTON. $AMZN is a monster stock. https://t.co/kBOWPOInm5,INFORMATIVE,,
"""Art Basel Hong Kong 2020 needs to be put out of its misery."" 

Exhibitors demand answers as coronavirus fears mount: https://t.co/tJ7FvBVU64 https://t.co/ubosDHz8Eq",INFORMATIVE,,
World Health Organization Declares Coronavirus Outbreak A Global Health… https://t.co/txyEBRZP3Z via https://t.co/WLbpyekAsO,INFORMATIVE,,
chinese corona virus be like https://t.co/YIue08OTPa,UNINFORMATIVE,,
"With the price gouging of masks from unscrupulous sellers, let me be the first to say, as a physician, that you don’t need a mask to protect yourself against the coronavirus. You must wash your hands frequently and never touch your eyes, nose, mouth, or face when they are dirty.",INFORMATIVE,,
BREAKING: Italy halts flights to and from China,INFORMATIVE,,
"@hrose9814 @yaMomsH0use @foxx816_ @Blayofficial @Prof_Keu @misswholesome_ So you know all the details of this short video?  Maybe the woman told them she just came from China. Maybe other Asian people would have reacted in the same way. You assume b/c the people that r covering their face r doing so b/c of their skin color, that is racist.",INFORMATIVE,,
"Today my son was cornered at school by kids who wanted to “test” him for #Coronavirus just because he is half-Chinese. They chased him. Scared him. And made him cry.

I was the same age when I was bullied for being Pakistani.

It’s 2020. I thought things had changed by now... ??",INFORMATIVE,,
this represents Brazil more than soccer and samba https://t.co/AUdaIxc83C,UNINFORMATIVE,,
LIVE: Press conference on the Emergency Committee meeting on #2019nCoV https://t.co/hTQam7RWc9,INFORMATIVE,,
"Wut? Okay.

Go out into your gardens, look at the nearest tree, it's bearing gold leaves.
And it's going to rain pure platinum.
And the sky is made of marshmallows, and the sea is lemonade ??

No wonder those two guys look uncomfortable ??

Is she for real? https://t.co/81SDJq6VpJ",UNINFORMATIVE,,
"#NovelCoronavirus (#2019nCoV) early-stage #ImportationRisk to #Europe, January 2020 https://t.co/FkRIcrUPwE

#nCoV2019 #coronavirus #travel @ECDC_EU https://t.co/8m9qIn8Lzo",UNINFORMATIVE,,
"The Washington Post: Impeachment Trial

South China Morning Post: Corona Virus

Fox News: NESSY????? https://t.co/kB1RS6qQg9",UNINFORMATIVE,,
"Wilbur Ross with the sunny side of the coronavirus this morning: ""I think it will help to accelerate the return of jobs to North America."" OMG. https://t.co/3iqkrccVru",INFORMATIVE,,
Breaking - WHO declares coronavirus a global health emergency,INFORMATIVE,,
Coronavirus declared global emergency by World Health Organisation https://t.co/nYGgxO2Wqt via @YouTube,INFORMATIVE,,
my grandma didn’t even wanna get panda express bc she was afraid of contracting the corona ?? https://t.co/DZ4J3y8lQ0,UNINFORMATIVE,,
The Simpsons have done it again ?? #CoronaVirus https://t.co/OHBnmU0KKL,UNINFORMATIVE,,
"What happened below is wrong. No one should be targeted because of their race. The coronavirus pays no attention to race. 

The best way to prevent the cornonavirus? Wash your hands.

Find out more at: 
https://t.co/AflxrbmSMr

@DocSchmadia https://t.co/IuK3sub8Xs",INFORMATIVE,,
It took China 10 days to complete a 1000 bed hospital that would have taken Nigeria 60 years from 1960 to abandon at lintel level after spending 1000 times the amount it took China to complete their own .,INFORMATIVE,,
@SnuggsyOwl Donald Trump: He doesn't like China because they actually h... https://t.co/F8GCiSsHb1 https://t.co/8yPqici8Ll,UNINFORMATIVE,,
"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHO_Europe @WHOEMRO @WHOAFRO ""We are working diligently with national and international public health partners to bring this outbreak under control as fast as possible""-@DrTedros #2019nCoV",INFORMATIVE,,
"Special Ep 5- War Room: Pandemic, China’s Chernobyl https://t.co/Vn3LZs4h2b via @Gnews202064",UNINFORMATIVE,,
INDIA with 1.4 billion overpopulating humans=over 20 times UK and France population theres still a long way to beat the debtfinanced climate change causing 16 ton per capita annual footprint that will wipe out the planet when reached by all humans https://t.co/SG5Gn4lvP3,INFORMATIVE,,
"Headlines tell a story... 1

This is the type of headline we would expect during a global pandemic? 

??????
https://t.co/ws1JB429xn",UNINFORMATIVE,,
"Breaking: Qatar Airways will fly a convoy of 8 cargo aircraft, with a 4 minute spacing between each flight, to Beijing, Guangzhou &amp; Shanghai on Friday – carrying medical supply donations from around the world. #China https://t.co/WNdwqdUNJb",INFORMATIVE,,
W/Africa needs $50m to strengthen coronavirus preparedness https://t.co/qBYkc1ZftL @WHO @WHOAFRO @WHONigeria @Fmohnigeria @LSMOH @ProfAkinAbayomi @Devcoms @Nasiruidrisu,INFORMATIVE,,
"????CHEMICAL WARFARE EXPERIMENT????

Leading Chinese scientists speak out &amp; say COVID-19 (coronavirus) originated at a government bioweapons research facility in Wuhan.

One: DUH??

Two: While Democrats waste resources, enemies are trying to kill us??
https://t.co/VB9eTQvAC6",INFORMATIVE,,
Hong Kong retailers stage unprecedented strike in 14 shopping centres to demand lifeline as foot traffic plunges amid coronavirus outbreak https://t.co/a6heYtd8xb,INFORMATIVE,,
"@utter_randoM @TheLiberalBlog @MicrObliterate @eugenegu more than anything, i feel bad for those currently in China. hospitals full, supplies bought up quickly after being restocked, living in fear that you'll get it next. truly a hell",UNINFORMATIVE,,
"Coronavirus Outbreak: China Reports Over 1,860 Deaths, 72,436 Confirmed Cases Of Infection
https://t.co/myyGknouDP",INFORMATIVE,,
"#UPDATE Over 300 Americans from a cruise ship quarantined off Japan because of the coronavirus arrive back in the US, as concern rises over passengers who dispersed around the globe after leaving a ship in Cambodia https://t.co/Tw3TpBBper https://t.co/ozHCmic00C",INFORMATIVE,,
"He is the highest level health official to succumb to the virus so far
By @EvaSailEast https://t.co/QQ4ngSzk7E",INFORMATIVE,,
China to postpone annual congress amid coronavirus fears https://t.co/Ln4FcjiIwn via @ABCNews,INFORMATIVE,,
"Japan’s economy has already been staggered by a devastating typhoon and a wallet-shutting tax increase. Now, the coronavirus threatens to knock Japan into a full-blown recession. https://t.co/uOnzIYomHD",INFORMATIVE,,
"With Russia refusing to cut oil production and so many airlines cancelling flights to and from China - the impact on crude and jet fuel consumption is significant: airlines place holds on flights until May - the impact will last several years.

And don’t forget the strong dollar! https://t.co/V3mWyniJdB",INFORMATIVE,,
i would wake her up and say “yo ur bleeding from ur per china” then I would ask if she wants to play zombies on call of duty black ops 4 https://t.co/Z3pm5Oe4kk,UNINFORMATIVE,,
"Enterprises in Nanchang, E China's Jiangxi Province roll out active precaution measures on Feb. 17 while resuming production amid the national fight against the novel coronavirus outbreak. #CombatCoronavirus https://t.co/SbfKbILHHi",INFORMATIVE,,
Chinese fans of #BTS member #jhope donate funds originally meant to celebrate the star’s birthday to charity amid #coronavirus epidemic #JHOPEDay @BTS_twt https://t.co/fAwWi7jOok https://t.co/FX2fJIMHpm,UNINFORMATIVE,,
@CebuPacificAir Good Afternoon. I have a direct flight from Iloilo to Singapore on Feb 21 and return back to Feb 27. May I know if it will be cancelled due to Ncov? Is it possible for refund? Thanks,UNINFORMATIVE,,
"$spx futures reacting normally to $aapl slashing guidance due to #COVID19

Fed and China increase stimulus as stocks fall 1% from ATH 

Cash market open green 

All is good https://t.co/K15LHs7N2J",INFORMATIVE,,
"A newly revealed database out of China has exposed in extraordinary detail the detention of 311 individuals, most of them Muslims. https://t.co/y8z7EP4NBH",INFORMATIVE,,
"Germany is on a trend of moderate long-term growth, but at a much higher level as China
#Germany #Growth #LongTerm #Forecast
https://t.co/qcky2bjEYe",UNINFORMATIVE,,
